name,description,date,views,comments
Как GeekUniversity помогает студентам трудоустроиться,"GeekUniversity даёт знания и практику, которые делают вас востребованным специалистом. Но это не всё.",19 июня 2018,17152,30
Как устроиться на работу в SpaceX?,"Краткий гид для тех, кто хочет присоединиться к космической одиссее Илона Маска.",18 июня 2018,73029,18
Как перезагрузить мозг,"Что делать, когда информация уже «не лезет в голову»?",16 июня 2018,29490,19
6 нестандартных и перспективных сфер программирования,Захватывающие области в IT. Где точно будет интересно?,15 июня 2018,24401,7
"Что нужно знать, чтобы стать Java-разработчиком",История Александра Чебыкина.,13 июня 2018,100,0
4 популярных Youtube-канала для начинающих разработчиков,Youtube — на пике популярности.,09 июня 2018,87357,58
Python в три ручья (часть 2). Блокировки,Простыми словами о потокобезопасности.,08 июня 2018,28306,1
"6 способов развить логическое мышление, если ты гуманитарий",«Перепрошить» можно любой мозг. ,06 июня 2018,143578,56
Как получить образование за счёт работодателя,Поиски личной и обоюдной выгоды.,03 июня 2018,12064,16
Сам себе инженер: домашняя автоматика и роботы на JavaScript,"С чего начать + 15 идей для Espruino, Arduino, Iskra JS.
",03 июня 2018,44260,40
Программирование в химии: интервью с Джузеппе Балакко,Поговорили с разработчиком ПО в необычной сфере.,01 июня 2018,13486,4
Лучшие способы изучить программирование без зубрёжки,"Обучение через игры, видео и интересную литературу ",31 мая 2018,34140,23
Удалённая работа: расписание и дисциплина фрилансера ,"Как избежать проблем, к которым может привести побег из офиса.",28 мая 2018,30157,47
"Билл Гейтс: 5 книг, которые стоит прочитать летом 2018",Внеклассное чтение на лето,24 мая 2018,11375,14
"День Хана Соло, или онлайн-вечеринка в стиле Звёздных Войн","Чуи, мы дома!",23 мая 2018,10583,31
В топе киберугроз — майнеры и эксплойты,Первый квартал запомнится мощнейшей DDos-атакой и взломом «облака» Tesla.,21 мая 2018,5916,4
"Полезные навыки, которые можно освоить за 30 дней ","Чему научиться за 30 дней, если есть много свободного времени и желания?",18 мая 2018,36191,27
История языков программирования: 1990-е,Интернет – двигатель прогресса.,17 мая 2018,13087,15
Мы ищем таланты: бесплатное обучение в GeekBrains,"Если вы ждали знак, чтобы начать программировать по-взрослому, то это он.",16 мая 2018,65505,878
Возможна ли анонимность в интернете?,"Разбираемся, кому нужна анонимность в интернете и легко ли ее достичь",15 мая 2018,37563,39
 Набираем студентов на факультет Информационной безопасности,"Научитесь искать уязвимости, отражать атаки злоумышленников и получите год реального опыта.",10 мая 2018,12567,8
5 книг для начинающих разработчиков Objective-C,Сначала C или сразу Objective-C?,07 мая 2018,18605,0
Python в три ручья: работаем с потоками (часть 1),"В каких случаях вам нужна многопоточность, как реализовать её на Python и что нужно знать о глобальной блокировке GIL.",04 мая 2018,273736,14
React Native —  это возможность быть быстрым,"Мобильный разработчик GeekBrains рассказывает о своем воркшопе и о том, почему стоит работать с React Native.",03 мая 2018,17877,4
Что мешает кандидатам найти хорошую работу?,"«Если ты не кайфуешь от своей работы, нужно быть честным с собой и не бояться искать другую».",01 мая 2018,16848,34
«Мстители: Война бесконечности»,Что нужно знать перед премьерой 3 мая?,28 апреля 2018,13110,15
Как провести майские праздники с пользой,Посвятите время профессиональному развитию.,27 апреля 2018,24719,14
Как вернуть доступ к вебинарам,"Используйте VPN-сервисы, аддоны или настройте свой VPN.",26 апреля 2018,11460,11
Продуктовая аналитика мобильных приложений,"5 вопросов, которые волнуют мобильных разработчиков.",25 апреля 2018,20798,0
ММСО: образование вышло за стены вузов,GeekBrains впервые участвовал в крупнейшем образовательном форуме России.,23 апреля 2018,4896,2
Что делает мобильную версию сайта привлекательной?,"Google и AnswerLab провели исследование, чтобы ответить на этот вопрос.",20 апреля 2018,8364,8
"Что читать, чтобы открыть IT-стартап","С какими книгами и СМИ познакомиться, если хочешь открыть своё дело в IT.",19 апреля 2018,21721,3
Три свежие книги для начинающих разработчиков Swift,"Что можно почитать, если вы в начале пути.",17 апреля 2018,45567,2
5 причин для гика прийти на ММСО,"Узнать о профессиях будущего, попасть в бизнес-инкубатор и посмотреть на IT-баттл.",16 апреля 2018,4641,2
